firm	SGA_percent
Lumen Technologies	0.15
LyondellBasell	0.03
M&T Bank	0.46
Marathon Oil	0.06
Marathon Petroleum	0.03
MarketAxess	0.13
Marriott International	0.55
Martin Marietta Materials	0.07
Masco	0.18
Mastercard	0.43
Match Group	0.34
McCormick & Company	0.21
McDonald's	0.10
McKesson Corporation	0.04
Medtronic	0.32
Merck & Co.	0.20
Mettler Toledo	0.26
MGM Resorts International	0.41
Microchip Technology	0.11
Micron Technology	0.04
Microsoft	0.15
Mid-America Apartments	0.03
Moderna	0.05
Mohawk Industries	0.17
Molson Coors Beverage Company	0.25
Mondelez International	0.22
Monolithic Power Systems	0.19
Monster Beverage	0.25
Moody's Corporation	0.21
Morgan Stanley	0.50
Motorola Solutions	0.15
MSCI	0.19
Nasdaq	0.24
NetApp	0.35
Netflix	0.13
Newell Brands	0.21
Newmont	0.03
News Corp (Class A)	0.35
News Corp (Class B)	0.35
Nielsen Holdings	0.27
Nike	0.32
Northern Trust	0.66
Northrop Grumman	0.09
NortonLifeLock	0.29
Norwegian Cruise Line Holdings	18.77
NRG Energy	0.07
Nucor	0.04
Nvidia	0.09
NVR	0.05
NXP	0.09
O'Reilly Automotive	0.28
Occidental Petroleum	0.04
Old Dominion Freight Line	0.04
Omnicom Group	0.03
Oneok	0.06
Oracle	0.22
Organon & Co.	0.22
Otis Worldwide	0.13
Paccar	0.02
Packaging Corporation of America	0.07
Parker-Hannifin	0.11
Paychex	0.31
Paycom	0.48
PayPal	0.18
Penn National Gaming	0.24
Pentair	0.16
People's United Financial	0.50
PepsiCo	0.38
PerkinElmer	0.21
Pfizer	0.14
Philip Morris International	0.25
Phillips 66	0.07
Pioneer Natural Resources	0.02
PNC Financial Services	0.48
Pool Corporation	0.15
PPG Industries	0.22
Principal Financial Group	0.35
Procter & Gamble	0.26
Prologis	0.06
Prudential Financial	0.19
PTC	0.39
Public Storage	0.03
PulteGroup	0.09
PVH	0.48
Qorvo	0.08
Qualcomm	0.07
Quanta Services	0.09
Quest Diagnostics	0.15
Ralph Lauren Corporation	0.54
Raymond James Financial	0.72
Raytheon Technologies	0.05
Realty Income Corporation	0.05
Regency Centers	0.07
Regeneron Pharmaceuticals	0.12
Regions Financial Corporation	0.41
Republic Services	0.11
ResMed	0.21
Robert Half International	0.31
Rockwell Automation	0.25
Rollins	0.30
Roper Technologies	0.43
Ross Stores	0.21
Royal Caribbean Group	1.94
S&P Global	0.17
Salesforce	0.53
SBA Communications	0.09
Schlumberger	0.01
Seagate Technology	0.05
Sealed Air	0.14
Sempra Energy	0.01
ServiceNow	0.50
Sherwin-Williams	0.28
Simon Property Group	0.07
Skyworks Solutions	0.06
Snap-on	0.27
Southwest Airlines	0.01
Stanley Black & Decker	0.19
Starbucks	0.07
State Street Corporation	0.56
Steris	0.23
Stryker Corporation	0.33
SVB Financial	0.44
Synchrony Financial	0.38
Synopsys	0.25
Sysco	0.16
T-Mobile US	0.23
T. Rowe Price	0.12
Take-Two Interactive	0.26
Tapestry	0.52
Target Corporation	0.19
TE Connectivity	0.10
Teledyne Technologies	0.21
Teleflex	0.30
Teradyne	0.15
Tesla	0.10
Texas Instruments	0.10
Textron	0.08
The Cooper Companies	0.38
The Hartford	0.21
The Hershey Company	0.22
The Mosaic Company	0.04
The Travelers Companies	0.14
The Walt Disney Company	0.20
Thermo Fisher Scientific	0.20
TJX Companies	0.30
Tractor Supply Company	0.23
Trane Technologies	0.17
TransDigm Group	0.14
Trimble	0.23
Truist Financial	0.57
Twitter	0.29
Tyler Technologies	0.24
Tyson Foods	0.05
U.S. Bancorp	0.52
Ulta Beauty	0.28
Under Armour (Class A)	0.40
Under Armour (Class C)	0.40
United Airlines	0.03
United Rentals	0.12
UnitedHealth Group	0.16
Universal Health Services	0.01
Valero Energy	0.01
Ventas	0.03
Verisign	0.15
Verisk Analytics	0.15
Verizon Communications	0.22
Vertex Pharmaceuticals	0.12
VF Corporation	0.43
ViacomCBS	0.21
Viatris	0.25
Visa	0.28
Vornado Realty Trust	0.09
Vulcan Materials	0.08
W. R. Berkley Corporation	0.01
W. W. Grainger	0.24
Wabtec	0.12
Walgreens Boots Alliance	0.18
Walmart	0.20
Waste Management	0.10
Waters Corporation	0.22
Wells Fargo	0.64
Welltower	0.03
West Pharmaceutical Services	0.13
Western Digital	0.07
Western Union	0.22
WestRock	0.09
Weyerhaeuser	0.05
Whirlpool Corporation	0.09
Williams Companies	0.05
Willis Towers Watson	0.03
Wynn Resorts	0.26
Xcel Energy	0.03
Xilinx	0.15
Xylem	0.23
Yum! Brands	0.16
Zebra Technologies	0.17
Zimmer Biomet	0.40
Zions Bancorp	0.46
Zoetis	0.25
Average	0.16
